market_type,market_label,security_code,symbol,exchange,board,listed_company_name,security_name,currency,isin,f10_code,listing_date,industry,research_status,profile_status,financial_status,retrieved_at_utc,last_error,next_action
HONG_KONG,港股,00001,00001.HK,HKEX,main_board,CKH HOLDINGS,CKH HOLDINGS,HKD,KYG217651051,00001,2015-03-18,综合企业,evidence_fetched,fetched,fetched,2026-05-14T11:08:07+00:00,,score_dimensions
HONG_KONG,港股,00002,00002.HK,HKEX,main_board,CLP HOLDINGS,CLP HOLDINGS,HKD,HK0002007356,00002,1980-01-02,公用事业,evidence_fetched,fetched,fetched,2026-05-14T11:08:07+00:00,,score_dimensions
HONG_KONG,港股,00003,00003.HK,HKEX,main_board,HK & CHINA GAS,HK & CHINA GAS,HKD,HK0003000038,00003,1960-04-11,公用事业,evidence_fetched,fetched,fetched,2026-05-14T11:08:07+00:00,,score_dimensions
HONG_KONG,港股,00004,00004.HK,HKEX,main_board,WHARF HOLDINGS,WHARF HOLDINGS,HKD,HK0004000045,00004,1921-01-01,地产,evidence_fetched,fetched,fetched,2026-05-14T11:08:07+00:00,,score_dimensions
HONG_KONG,港股,00005,00005.HK,HKEX,main_board,HSBC HOLDINGS,HSBC HOLDINGS,HKD,GB0005405286,00005,1980-01-02,银行,evidence_fetched,fetched,fetched,2026-05-14T11:08:07+00:00,,score_dimensions
HONG_KONG,港股,00006,00006.HK,HKEX,main_board,POWER ASSETS,POWER ASSETS,HKD,HK0006000050,00006,1976-08-16,公用事业,evidence_fetched,fetched,fetched,2026-05-14T11:08:07+00:00,,score_dimensions
HONG_KONG,港股,00007,00007.HK,HKEX,main_board,WISDOM WEALTH,WISDOM WEALTH,HKD,BMG4643R1245,00007,2000-09-08,家庭电器及用品,evidence_fetched,fetched,fetched,2026-05-14T11:08:07+00:00,,score_dimensions
HONG_KONG,港股,00008,00008.HK,HKEX,main_board,PCCW,PCCW,HKD,HK0008011667,00008,1994-10-18,电讯,evidence_fetched,fetched,fetched,2026-05-14T11:08:07+00:00,,score_dimensions
HONG_KONG,港股,00010,00010.HK,HKEX,main_board,HANG LUNG GROUP,HANG LUNG GROUP,HKD,HK0010000088,00010,1972-10-12,地产,evidence_fetched,fetched,fetched,2026-05-14T11:08:07+00:00,,score_dimensions
HONG_KONG,港股,00012,00012.HK,HKEX,main_board,HENDERSON LAND,HENDERSON LAND,HKD,HK0012000102,00012,1981-07-23,地产,evidence_fetched,fetched,fetched,2026-05-14T11:08:07+00:00,,score_dimensions
HONG_KONG,港股,00013,00013.HK,HKEX,main_board,HUTCHMED,HUTCHMED,HKD,KYG4672N1198,00013,2021-06-30,药品及生物科技,evidence_fetched,fetched,fetched,2026-05-14T11:08:07+00:00,,score_dimensions
HONG_KONG,港股,00014,00014.HK,HKEX,main_board,HYSAN DEV,HYSAN DEV,HKD,HK0014000126,00014,1981-09-18,地产,evidence_fetched,fetched,fetched,2026-05-14T11:08:07+00:00,,score_dimensions
HONG_KONG,港股,00016,00016.HK,HKEX,main_board,SHK PPT,SHK PPT,HKD,HK0016000132,00016,1972-09-08,地产,evidence_fetched,fetched,fetched,2026-05-14T11:08:08+00:00,,score_dimensions
HONG_KONG,港股,00017,00017.HK,HKEX,main_board,NEW WORLD DEV,NEW WORLD DEV,HKD,HK0000608585,00017,1972-11-23,地产,evidence_fetched,fetched,fetched,2026-05-14T11:08:08+00:00,,score_dimensions
HONG_KONG,港股,00018,00018.HK,HKEX,main_board,ORIENTAL M G,ORIENTAL M G,HKD,HK0018000155,00018,1987-08-18,媒体及娱乐,evidence_fetched,fetched,fetched,2026-05-14T11:08:08+00:00,,score_dimensions
HONG_KONG,港股,00019,00019.HK,HKEX,main_board,SWIRE PACIFIC A,SWIRE PACIFIC A,HKD,HK0019000162,00019,1959-04-14,综合企业,evidence_fetched,fetched,fetched,2026-05-14T11:08:08+00:00,,score_dimensions
HONG_KONG,港股,00020,00020.HK,HKEX,main_board,SENSETIME-W,SENSETIME-W,HKD,KYG8062L1041,00020,2021-12-30,软件服务,evidence_fetched,fetched,fetched,2026-05-14T11:08:08+00:00,,score_dimensions
HONG_KONG,港股,00021,00021.HK,HKEX,main_board,GREAT CHI HLDGS,GREAT CHI HLDGS,HKD,HK0000132420,00021,1988-12-30,地产,evidence_fetched,fetched,fetched,2026-05-14T11:08:08+00:00,,score_dimensions
HONG_KONG,港股,00022,00022.HK,HKEX,main_board,MEXAN,MEXAN,HKD,BMG6051D1175,00022,1972-12-14,建筑,evidence_fetched,fetched,fetched,2026-05-14T11:08:08+00:00,,score_dimensions
HONG_KONG,港股,00023,00023.HK,HKEX,main_board,BANK OF E ASIA,BANK OF E ASIA,HKD,HK0023000190,00023,1921-01-01,银行,evidence_fetched,fetched,fetched,2026-05-14T11:08:08+00:00,,score_dimensions
HONG_KONG,港股,00025,00025.HK,HKEX,main_board,CHEVALIER INT'L,CHEVALIER INT'L,HKD,BMG2097Z1471,00025,1984-12-05,综合企业,evidence_fetched,fetched,fetched,2026-05-14T11:08:09+00:00,,score_dimensions
HONG_KONG,港股,00026,00026.HK,HKEX,main_board,CHINA MOTOR BUS,CHINA MOTOR BUS,HKD,HK0026000205,00026,1962-01-01,地产,evidence_fetched,fetched,fetched,2026-05-14T11:08:09+00:00,,score_dimensions
HONG_KONG,港股,00027,00027.HK,HKEX,main_board,GALAXY ENT,GALAXY ENT,HKD,HK0027032686,00027,1991-10-07,旅游及消闲设施,evidence_fetched,fetched,fetched,2026-05-14T11:08:09+00:00,,score_dimensions
HONG_KONG,港股,00028,00028.HK,HKEX,main_board,TIAN AN,TIAN AN,HKD,HK0028013271,00028,1987-03-18,地产,evidence_fetched,fetched,fetched,2026-05-14T11:08:09+00:00,,score_dimensions
HONG_KONG,港股,00029,00029.HK,HKEX,main_board,DYNAMIC HOLD,DYNAMIC HOLD,HKD,BMG2889K1678,00029,1980-01-04,地产,evidence_fetched,fetched,fetched,2026-05-14T11:08:09+00:00,,score_dimensions
HONG_KONG,港股,00030,00030.HK,HKEX,main_board,YNBY INTL,YNBY INTL,HKD,BMG0865U1009,00030,1991-10-09,其他医疗保健,evidence_fetched,fetched,fetched,2026-05-14T11:08:10+00:00,,score_dimensions
HONG_KONG,港股,00031,00031.HK,HKEX,main_board,CHINA AEROSPACE,CHINA AEROSPACE,HKD,HK0031044180,00031,1981-08-25,工业工程,evidence_fetched,fetched,fetched,2026-05-14T11:08:10+00:00,,score_dimensions
HONG_KONG,港股,00032,00032.HK,HKEX,main_board,CROSS-HAR(HOLD),CROSS-HAR(HOLD),HKD,HK0032009356,00032,1974-07-30,支援服务,evidence_fetched,fetched,fetched,2026-05-14T11:08:10+00:00,,score_dimensions
HONG_KONG,港股,00033,00033.HK,HKEX,main_board,INTL GENIUS,INTL GENIUS,HKD,KYG0252B1115,00033,2007-11-19,家庭电器及用品,evidence_fetched,fetched,fetched,2026-05-14T11:08:10+00:00,,score_dimensions
HONG_KONG,港股,00034,00034.HK,HKEX,main_board,KOWLOON DEV,KOWLOON DEV,HKD,HK0034000254,00034,1995-07-04,地产,evidence_fetched,fetched,fetched,2026-05-14T11:08:10+00:00,,score_dimensions
HONG_KONG,港股,00035,00035.HK,HKEX,main_board,FE CONSORT INTL,FE CONSORT INTL,HKD,KYG3307Z1090,00035,1972-09-21,地产,evidence_fetched,fetched,fetched,2026-05-14T11:08:11+00:00,,score_dimensions
HONG_KONG,港股,00036,00036.HK,HKEX,main_board,FE HLDGS INTL,FE HLDGS INTL,HKD,HK0001095345,00036,1973-02-12,地产,evidence_fetched,fetched,fetched,2026-05-14T11:08:11+00:00,,score_dimensions
HONG_KONG,港股,00037,00037.HK,HKEX,main_board,FE HOTELS,FE HOTELS,HKD,HK0037039283,00037,1979-07-03,旅游及消闲设施,evidence_fetched,fetched,fetched,2026-05-14T11:08:11+00:00,,score_dimensions
HONG_KONG,港股,00038,00038.HK,HKEX,main_board,FIRST TRACTOR,FIRST TRACTOR,HKD,CNE100000320,00038,1997-06-23,工业工程,evidence_fetched,fetched,fetched,2026-05-14T11:08:11+00:00,,score_dimensions
HONG_KONG,港股,00039,00039.HK,HKEX,main_board,CH BEIDAHUANG,CH BEIDAHUANG,HKD,KYG2117W1087,00039,2001-01-16,消费者主要零售商,evidence_fetched,fetched,fetched,2026-05-14T11:08:11+00:00,,score_dimensions
HONG_KONG,港股,00040,00040.HK,HKEX,main_board,GOLD PEAK,GOLD PEAK,HKD,HK0040000298,00040,1984-07-02,家庭电器及用品,evidence_fetched,fetched,fetched,2026-05-14T11:08:11+00:00,,score_dimensions
HONG_KONG,港股,00041,00041.HK,HKEX,main_board,GREAT EAGLE H,GREAT EAGLE H,HKD,BMG4069C1486,00041,1972-10-26,地产,evidence_fetched,fetched,fetched,2026-05-14T11:08:11+00:00,,score_dimensions
HONG_KONG,港股,00042,00042.HK,HKEX,main_board,NE ELECTRIC,NE ELECTRIC,HKD,CNE1000003V0,00042,1995-07-06,工业工程,evidence_fetched,fetched,fetched,2026-05-14T11:08:11+00:00,,score_dimensions
HONG_KONG,港股,00045,00045.HK,HKEX,main_board,HK&S HOTELS,HK&S HOTELS,HKD,HK0045000319,00045,1921-01-01,旅游及消闲设施,evidence_fetched,fetched,fetched,2026-05-14T11:08:11+00:00,,score_dimensions
HONG_KONG,港股,00046,00046.HK,HKEX,main_board,COMPUTER & TECH,COMPUTER & TECH,HKD,BMG2335C1082,00046,1998-05-18,软件服务,evidence_fetched,fetched,fetched,2026-05-14T11:08:11+00:00,,score_dimensions
HONG_KONG,港股,00048,00048.HK,HKEX,main_board,C AUTO INT DECO,C AUTO INT DECO,HKD,KYG211351500,00048,2010-09-29,汽车,evidence_fetched,fetched,fetched,2026-05-14T11:08:12+00:00,,score_dimensions
HONG_KONG,港股,00050,00050.HK,HKEX,main_board,HK FERRY (HOLD),HK FERRY (HOLD),HKD,HK0050000345,00050,1988-12-30,地产,evidence_fetched,fetched,fetched,2026-05-14T11:08:12+00:00,,score_dimensions
HONG_KONG,港股,00051,00051.HK,HKEX,main_board,HARBOUR CENTRE,HARBOUR CENTRE,HKD,HK0051000351,00051,1971-02-15,旅游及消闲设施,evidence_fetched,fetched,fetched,2026-05-14T11:08:12+00:00,,score_dimensions
HONG_KONG,港股,00052,00052.HK,HKEX,main_board,FAIRWOOD HOLD,FAIRWOOD HOLD,HKD,BMG3305Y1619,00052,1991-10-09,旅游及消闲设施,evidence_fetched,fetched,fetched,2026-05-14T11:08:12+00:00,,score_dimensions
HONG_KONG,港股,00053,00053.HK,HKEX,main_board,GUOCO GROUP,GUOCO GROUP,HKD,BMG420981224,00053,1983-05-03,地产,evidence_fetched,fetched,fetched,2026-05-14T11:08:12+00:00,,score_dimensions
HONG_KONG,港股,00055,00055.HK,HKEX,main_board,NEWAY GROUP,NEWAY GROUP,HKD,BMG6433R1319,00055,1992-09-10,工用支援,evidence_fetched,fetched,fetched,2026-05-14T11:08:13+00:00,,score_dimensions
